"Flow_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Cone"
1.736115,0.0015,0.005,8,0.076452183
1.736115,0.0015,0.007,8,0.054686616
1.736115,0.0015,0.014,8,0.027375399
1.736115,0.0015,0.029,8,0.013201853
1.736115,0.0015,0.058,8,0.006587635
2.31482,0.0015,0.00085,8,0.581358985
2.31482,0.0015,0.0017,8,0.29567574
2.31482,0.0015,0.0035,8,0.144992366
2.31482,0.0015,0.005,8,0.101771494
2.31482,0.0015,0.007,8,0.072828657
2.31482,0.0015,0.014,8,0.036503767
2.31482,0.0015,0.029,8,0.017611589
2.31482,0.0015,0.058,8,0.008792382
3.47223,0.0015,0.0017,8,0.439546164
3.47223,0.0015,0.0035,8,0.21651748
3.47223,0.0015,0.005,8,0.152173425
3.47223,0.0015,0.007,8,0.108991042
3.47223,0.0015,0.014,8,0.054686616
3.47223,0.0015,0.029,8,0.0264305
3.47223,0.0015,0.058,8,0.013201853
5.78705,0.0015,0.0035,8,0.357696096
5.78705,0.0015,0.005,8,0.252044044
5.78705,0.0015,0.007,8,0.180834046
5.78705,0.0015,0.014,8,0.090930073
5.78705,0.0015,0.029,8,0.044032665
5.78705,0.0015,0.058,8,0.022021012
8.680575,0.0015,0.0035,8,0.530771089
8.680575,0.0015,0.005,8,0.375171224
8.680575,0.0015,0.007,8,0.269748936
8.680575,0.0015,0.014,8,0.136007056
8.680575,0.0015,0.029,8,0.065951982
8.680575,0.0015,0.058,8,0.033044787
11.5741,0.0015,0.005,8,0.496450032
11.5741,0.0015,0.007,8,0.357696096
11.5741,0.0015,0.014,8,0.180834046
11.5741,0.0015,0.029,8,0.087812025
11.5741,0.0015,0.058,8,0.044032665
17.36115,0.0015,0.007,8,0.530771089
17.36115,0.0015,0.014,8,0.269748936
17.36115,0.0015,0.029,8,0.131355552
17.36115,0.0015,0.058,8,0.065951982
23.1482,0.0015,0.014,8,0.357696096
23.1482,0.0015,0.029,8,0.174665764
23.1482,0.0015,0.058,8,0.087812025
34.7223,0.0015,0.014,8,0.530771089
34.7223,0.0015,0.029,8,0.260596064
34.7223,0.0015,0.058,8,0.131355552
46.2964,0.0015,0.029,8,0.345622197
46.2964,0.0015,0.058,8,0.174665764
69.4446,0.0015,0.029,8,0.513036131
69.4446,0.0015,0.058,8,0.260596064
92.5928,0.0015,0.029,8,0.677332137
92.5928,0.0015,0.058,8,0.345622197
115.741,0.0015,0.058,8,0.429762848
144.67625,0.0015,0.058,8,0.53372672
173.6115,0.0015,0.058,8,0.6365434
0.1736115,0.0015,0.00021,10,0.145603401
0.1736115,0.0015,0.00042,10,0.07287173
0.1736115,0.0015,0.00085,10,0.036112819
0.1736115,0.0015,0.0017,10,0.018035938
0.1736115,0.0015,0.0035,10,0.008752005
0.1736115,0.0015,0.005,10,0.006120919
0.1736115,0.0015,0.007,10,0.004366855
0.1736115,0.0015,0.014,10,0.002174277
0.1736115,0.0015,0.029,10,0.001040184
0.1736115,0.0015,0.058,10,0.000510939
0.578705,0.0015,0.00021,10,0.477361604
0.578705,0.0015,0.00042,10,0.240851204
0.578705,0.0015,0.00085,10,0.119839067
0.578705,0.0015,0.0017,10,0.06006471
0.578705,0.0015,0.0035,10,0.029216152
0.578705,0.0015,0.005,10,0.020445871
0.578705,0.0015,0.007,10,0.01459888
0.578705,0.0015,0.014,10,0.007290293
0.578705,0.0015,0.029,10,0.003509986
0.578705,0.0015,0.058,10,0.001745842
1.15741,0.0015,0.00042,10,0.476077133
1.15741,0.0015,0.00085,10,0.238257002
