"Flow_well","Temp_diff","Temp_diff_real","kW_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Long_dispersivity","Trans_dispersivity","Iso_width","Iso_distance","Area","Isotherm"
139.4,3,2.54560639919,20.232,0.0015,0.0035,4,20,10,27.3764733,32.1597670138,884.494036193,2
249.9,3,2.82736079483,36.27,0.0015,0.0035,4,20,10,186.64221598,1082.83017391,164336.82431,1
249.9,3,2.82736079483,36.27,0.0015,0.0035,4,20,10,70.0697662691,148.403979076,9104.46371563,2
360.4,3,2.93784832424,52.308,0.0015,0.0035,4,20,10,115.380103445,353.963538734,34079.8697187,2
470.8,3,2.988456992,68.331,0.0015,0.0035,4,20,10,162.012064634,644.682026901,84938.7245708,2
279,3,2.54791945939,40.494,0.0015,0.007,4,20,10,97.272460524,323.645386595,26119.3101493,1
279,3,2.54791945939,40.494,0.0015,0.007,4,20,10,27.522855954,32.497656646,897.272879299,2
499.9,3,2.82860883297,72.555,0.0015,0.007,4,20,10,186.740910096,1089.04552057,165352.907638,1
499.9,3,2.82860883297,72.555,0.0015,0.007,4,20,10,70.2279354807,149.528069542,9183.52643654,2
720.9,3,2.93861693163,104.631,0.0015,0.007,4,20,10,115.558665318,356.289516619,34337.8670853,2
941.8,3,2.98895454814,136.692,0.0015,0.007,4,20,10,162.231767193,648.768993675,85552.6139102,2
2312.8,3,2.5498645377,335.677,0.0015,0.058,4,20,10,97.3966108734,325.573476198,26301.7719301,1
2312.8,3,2.5498645377,335.677,0.0015,0.058,4,20,10,27.6435065837,32.7811811248,908.022265108,2
4144.4,3,2.82985575409,601.514,0.0015,0.058,4,20,10,186.905509305,1095.43910995,166458.025478,1
4144.4,3,2.82985575409,601.514,0.0015,0.058,4,20,10,70.4066800255,150.499819459,9267.51059558,2
5976.1,3,2.93937947871,867.365,0.0015,0.058,4,20,10,115.774361062,358.578193319,34611.8429428,2
7807.7,3,2.98944386127,1133.201,0.0015,0.058,4,20,10,162.49611585,652.897191946,86198.7052258,2
11.4,3,2.33767255493,1.655,0.0015,0.00021,4,35,17.5,124.251206026,303.170174883,31995.018142,1
21.2,3,2.70093859328,3.077,0.0015,0.00021,4,35,17.5,257.521175406,1110.96902163,234366.898133,1
21.2,3,2.70093859328,3.077,0.0015,0.00021,4,35,17.5,88.1557387761,141.434429856,11473.3132277,2
30.9,3,2.85262371204,4.485,0.0015,0.00021,4,35,17.5,154.303597733,358.718024989,47670.6880163,2
40.7,3,2.92831310899,5.907,0.0015,0.00021,4,35,17.5,223.207612678,671.180055766,124649.715626,2
46.4,3,2.37014524514,6.734,0.0015,0.00085,4,35,17.5,126.853563857,330.734557009,35411.0497622,1
85.8,3,2.72029838663,12.453,0.0015,0.00085,4,35,17.5,258.466548822,1189.86910538,251385.414567,1
85.8,3,2.72029838663,12.453,0.0015,0.00085,4,35,17.5,91.0720676195,155.072361602,12850.894483,2
125.2,3,2.86603066569,18.171,0.0015,0.00085,4,35,17.5,157.775041845,390.584061073,52647.7742248,2
164.6,3,2.93693469857,23.89,0.0015,0.00085,4,35,17.5,226.384727204,722.967320326,135265.955357,2
190.9,3,2.3769345187,27.707,0.0015,0.0035,4,35,17.5,127.131684035,336.530680678,36062.5994845,1
352.9,3,2.72472754538,51.22,0.0015,0.0035,4,35,17.5,258.375724333,1208.33889287,255068.094761,1
352.9,3,2.72472754538,51.22,0.0015,0.0035,4,35,17.5,91.6449871137,158.326387418,13168.248461,2
514.8,3,2.86890518113,74.718,0.0015,0.0035,4,35,17.5,158.275067381,397.609576497,53667.4668696,2
676.8,3,2.93885919799,98.23,0.0015,0.0035,4,35,17.5,226.808452199,734.882252352,137546.882756,2
381.6,3,2.37783366029,55.385,0.0015,0.007,4,35,17.5,127.128418387,337.261849649,36132.787852,1
705.2,3,2.72517951099,102.352,0.0015,0.007,4,35,17.5,258.200498695,1209.93879238,255216.281107,1
705.2,3,2.72517951099,102.352,0.0015,0.007,4,35,17.5,91.6548137823,158.632262769,13190.3314879,2
1028.7,3,2.86919957031,149.304,0.0015,0.007,4,35,17.5,158.234336797,398.233038009,53727.3272624,2
1352.2,3,2.93902337393,196.257,0.0015,0.007,4,35,17.5,226.669246807,735.691346694,137592.60151,2
3153.2,3,2.37712067268,457.652,0.0015,0.058,4,35,17.5,126.766457525,336.275161933,35922.0555932,1
5825.4,3,2.72453931004,845.492,0.0015,0.058,4,35,17.5,257.425452618,1205.81367525,253577.487603,1
5825.4,3,2.72453931004,845.492,0.0015,0.058,4,35,17.5,91.3438341809,157.961190102,13093.4432348,2
8497.5,3,2.86875783259,1233.318,0.0015,0.058,4,35,17.5,157.705629785,396.679711123,53343.8199296,2
11169.6,3,2.93872511248,1621.143,0.0015,0.058,4,35,17.5,225.925385245,732.98853052,136653.881334,2
1.7,5,3.89743357235,0.411,0.0015,0.00021,4,5,2.5,33.2034821599,97.7192339463,2711.86746658,1
1.7,5,3.89743357235,0.411,0.0015,0.00021,4,5,2.5,11.7671420476,16.6941535243,181.67252285,2
1.7,5,3.89743357235,0.411,0.0015,0.00021,4,5,2.5,3.71905958907,2.93343030014,12.6054615313,3
2.9,5,4.50402306909,0.702,0.0015,0.00021,4,5,2.5,60.6136565879,296.941986709,14674.1823224,1
2.9,5,4.50402306909,0.702,0.0015,0.00021,4,5,2.5,25.0724261211,56.2896196072,1216.73645141,2
2.9,5,4.50402306909,0.702,0.0015,0.00021,4,5,2.5,11.500266035,14.769051487,163.631015271,3
2.9,5,4.50402306909,0.702,0.0015,0.00021,4,5,2.5,1.90624533369,1.15608879417,2.83701835378,4
4,5,4.79348446246,0.968,0.0015,0.00021,4,5,2.5,85.449802314,574.811622014,39757.261582,1
4,5,4.79348446246,0.968,0.0015,0.00021,4,5,2.5,37.4874348146,114.246486492,3583.61097874,2
4,5,4.79348446246,0.968,0.0015,0.00021,4,5,2.5,19.0979561751,33.0641575004,567.815396717,3
4,5,4.79348446246,0.968,0.0015,0.00021,4,5,2.5,6.82004186991,6.18489829407,45.9306718106,4
5.2,5,4.97889461522,1.258,0.0015,0.00021,4,5,2.5,112.22446477,980.236291857,88763.8944231,1
5.2,5,4.97889461522,1.258,0.0015,0.00021,4,5,2.5,51.1094059188,201.145020569,8481.2735727,2
5.2,5,4.97889461522,1.258,0.0015,0.00021,4,5,2.5,27.686064493,61.5130693919,1475.07214968,3
5.2,5,4.97889461522,1.258,0.0015,0.00021,4,5,2.5,12.3373625428,14.8489747536,181.189718324,4
6.4,5,5.09277435518,1.548,0.0015,0.00021,4,5,2.5,138.635681478,1490.61518989,166541.909846,1
6.4,5,5.09277435518,1.548,0.0015,0.00021,4,5,2.5,64.7566454163,312.905140726,16603.6914122,2
6.4,5,5.09277435518,1.548,0.0015,0.00021,4,5,2.5,36.4904952974,99.3041591837,3068.39666455,3
6.4,5,5.09277435518,1.548,0.0015,0.00021,4,5,2.5,18.0782414244,26.9705147064,456.852709625,4
7,5,4.19872257009,1.693,0.0015,0.00085,4,5,2.5,35.3781824745,149.53941391,4335.29565426,1
7,5,4.19872257009,1.693,0.0015,0.00085,4,5,2.5,14.0401699641,27.1650786467,335.530869038,2
7,5,4.19872257009,1.693,0.0015,0.00085,4,5,2.5,5.86523190852,6.27864088882,37.8280990464,3
11.7,5,4.70948890781,2.83,0.0015,0.00085,4,5,2.5,61.6339217317,431.373994052,21526.1072564,1
11.7,5,4.70948890781,2.83,0.0015,0.00085,4,5,2.5,27.0993750486,85.0151887987,1920.61320915,2
11.7,5,4.70948890781,2.83,0.0015,0.00085,4,5,2.5,13.8853640435,24.1789944855,301.90408419,3
11.7,5,4.70948890781,2.83,0.0015,0.00085,4,5,2.5,4.62426861476,3.91634040287,20.5190654339,4
16.4,5,4.95911478888,3.967,0.0015,0.00085,4,5,2.5,87.5706991547,859.646615949,60704.5454949,1
16.4,5,4.95911478888,3.967,0.0015,0.00085,4,5,2.5,40.2477494571,175.985520307,5812.85741305,2
16.4,5,4.95911478888,3.967,0.0015,0.00085,4,5,2.5,22.2626919198,53.4649085372,1025.24118219,3
16.4,5,4.95911478888,3.967,0.0015,0.00085,4,5,2.5,10.241680568,12.8116997816,129.476090436,4
21.1,5,5.09736371586,5.104,0.0015,0.00085,4,5,2.5,113.174044395,1430.22159895,130399.317663,1
21.1,5,5.09736371586,5.104,0.0015,0.00085,4,5,2.5,53.4213395634,300.939077555,13105.0899526,2
21.1,5,5.09736371586,5.104,0.0015,0.00085,4,5,2.5,30.8325971376,95.9235755733,2471.53385605,3
21.1,5,5.09736371586,5.104,0.0015,0.00085,4,5,2.5,15.9853644018,26.457743097,388.416244219,4
25.8,5,5.17965498196,6.241,0.0015,0.00085,4,5,2.5,66.5709492375,459.617285067,24868.2218405,2
25.8,5,5.17965498196,6.241,0.0015,0.00085,4,5,2.5,39.5719171794,150.590538575,4922.38464376,3
25.8,5,5.17965498196,6.241,0.0015,0.00085,4,5,2.5,21.9461672284,44.929049431,871.634758548,4
29,5,4.28745574945,7.015,0.0015,0.0035,4,5,2.5,35.9704912572,171.159430499,5022.56958025,1
29,5,4.28745574945,7.015,0.0015,0.0035,4,5,2.5,14.6733891158,31.8559121621,401.522253969,2
29,5,4.28745574945,7.015,0.0015,0.0035,4,5,2.5,6.49835480981,7.68260342642,49.7443465272,3
